Order_ID,Customer_ID,Product_ID,Order_Date,City,Country,Category,Product,Quantity,Unit_Price,Discount_Pct,Sales_Amount,Cost_Amount,Profit_Amount,Order_Status,Sales_Channel,Payment_Method
ORD000001,CUST00617,PROD0102,2025-04-13,Dubai,UAE,Electronics,Laptop,1,356.03,0.1,320.43,260.66,59.77,Cancelled,Marketplace,Wallet
ORD000002,CUST01722,PROD0602,2026-03-12,Dammam,Saudi Arabia,Sports,Running Shoes,2,2221.84,0.05,4221.5,2634.59,1586.91,Completed,Online,Bank Transfer
ORD000003,CUST01307,PROD0404,2025-09-28,Riyadh,Saudi Arabia,Beauty,Hair Dryer,5,344.92,0.1,1552.14,1034.39,517.75,Completed,Retail Store,Wallet
ORD000004,CUST00324,PROD0403,2025-04-17,Jubail,Saudi Arabia,Beauty,Makeup Kit,4,2432.94,0.2,7785.41,5458.41,2327.0,Completed,Marketplace,Bank Transfer
ORD000005,CUST00664,PROD0201,2025-03-13,Abu Dhabi,UAE,Home Appliances,Air Conditioner,4,1093.26,0.15,3717.08,2376.34,1340.74,Completed,Online,Bank Transfer
ORD000006,CUST01375,PROD0603,2026-12-02,Jubail,Saudi Arabia,Sports,Dumbbells,2,232.77,0.15,395.71,274.86,120.85,Returned,Retail Store,Wallet
ORD000007,CUST01399,PROD0502,2025-01-21,Jeddah,Saudi Arabia,Grocery,Dates,1,2420.0,0.15,2057.0,1255.63,801.37,Returned,Retail Store,Cash
ORD000008,CUST01778,PROD0201,2026-09-07,Jeddah,Saudi Arabia,Home Appliances,Air Conditioner,2,1329.56,0.2,2127.3,1435.45,691.85,Cancelled,Marketplace,Wallet
ORD000009,CUST00092,PROD0504,2025-05-02,Riyadh,Saudi Arabia,Grocery,Olive Oil,4,2014.85,0.0,8059.4,4458.78,3600.62,Cancelled,Marketplace,Wallet
ORD000010,CUST00569,PROD0402,2026-04-12,Dubai,UAE,Beauty,Skincare Set,3,1036.86,0.0,3110.58,1776.57,1334.01,Completed,Retail Store,Cash
ORD000011,CUST00698,PROD0202,2025-08-03,Sharjah,UAE,Home Appliances,Refrigerator,2,2296.04,0.2,3673.66,2710.71,962.95,Completed,Marketplace,Wallet
ORD000012,CUST01107,PROD0402,2025-11-27,Riyadh,Saudi Arabia,Beauty,Skincare Set,1,1805.5,0.2,1444.4,827.85,616.55,Returned,Online,Bank Transfer
ORD000013,,PROD0602,2026-04-04,Sharjah,UAE,Sports,Running Shoes,3,1305.44,0.15,3328.87,2118.21,1210.66,Returned,Retail Store,Cash
ORD000014,CUST01734,PROD0503,2025-03-29,Abu Dhabi,UAE,Grocery,Snacks,3,1783.58,0.1,4815.67,3550.39,1265.28,Completed,Retail Store,Bank Transfer
ORD000015,CUST01304,PROD0501,2026-01-08,Jeddah,Saudi Arabia,Grocery,Coffee,3,2219.34,0.1,5992.22,4747.77,1244.45,Completed,Retail Store,Card
ORD000016,CUST01597,PROD0204,2025-04-10,Sharjah,UAE,Home Appliances,Vacuum Cleaner,4,1263.57,0.0,5054.28,4268.01,786.27,Cancelled,Marketplace,Card
ORD000017,CUST00712,PROD0103,2026-10-26,Dammam,Saudi Arabia,Electronics,Headphones,3,1489.57,0.0,4468.71,2652.09,1816.62,Completed,Marketplace,Wallet
ORD000018,CUST00271,PROD0601,2025-05-11,Dammam,Saudi Arabia,Sports,Yoga Mat,5,2028.23,0.1,9127.04,6503.27,2623.77,Completed,Retail Store,Cash
ORD000019,CUST00887,PROD0203,2026-10-24,Dubai,UAE,Home Appliances,Microwave,2,225.19,0.0,450.38,373.9,76.48,Cancelled,Marketplace,Wallet
